FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;4;0.0030;1474.68
BatchNorm2D;4;0.0007;5481.83
ReLU;4;0.0002;21858.84
MaxPool2D;4;0.0004;10919.40
Conv2D;4;0.0095;421.86
BatchNorm2D;4;0.0003;13742.02
ReLU;4;0.0001;51350.80
MaxPool2D;4;0.0002;21354.40
Conv2D;4;0.0088;456.12
BatchNorm2D;4;0.0002;18611.80
ReLU;4;0.0000;90027.01
MaxPool2D;4;0.0001;33034.60
Flatten;4;0.0000;719417.71
Dense;4;0.0014;2982.00
ReLU;4;0.0000;244670.86
Dropout;4;0.0001;75651.71
Dense;4;0.0001;45256.71
Softmax;4;0.0001;29952.95
