FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0187;426.85
BatchNorm2D;8;0.0030;2670.15
ReLU;8;0.0004;19864.76
MaxPool2D;8;0.0074;1081.63
Conv2D;8;0.0264;303.59
BatchNorm2D;8;0.0007;11974.03
ReLU;8;0.0002;41862.52
MaxPool2D;8;0.0036;2209.59
Conv2D;8;0.0186;429.54
BatchNorm2D;8;0.0004;20273.58
ReLU;8;0.0001;81792.93
MaxPool2D;8;0.0021;3752.30
Flatten;8;0.0000;568789.34
Dense;8;0.0021;3804.91
ReLU;8;0.0000;446359.54
Dropout;8;0.0001;149163.72
Dense;8;0.0001;62792.51
Softmax;8;0.0002;48047.44
