FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0188;424.90
BatchNorm2D;8;0.0031;2576.75
ReLU;8;0.0004;19481.58
MaxPool2D;8;0.0074;1075.38
Conv2D;8;0.0263;304.07
BatchNorm2D;8;0.0007;11846.60
ReLU;8;0.0002;41813.17
MaxPool2D;8;0.0037;2171.87
Conv2D;8;0.0187;427.04
BatchNorm2D;8;0.0004;20019.82
ReLU;8;0.0001;80961.08
MaxPool2D;8;0.0021;3732.92
Flatten;8;0.0000;563246.76
Dense;8;0.0021;3840.99
ReLU;8;0.0000;418367.27
Dropout;8;0.0001;150268.07
Dense;8;0.0001;60195.69
Softmax;8;0.0002;46924.46
