FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0188;427.03
BatchNorm2D;8;0.0030;2627.61
ReLU;8;0.0004;20043.08
MaxPool2D;8;0.3608;22.23
Conv2D;8;0.0300;266.70
BatchNorm2D;8;0.0007;11867.25
ReLU;8;0.0002;48050.83
MaxPool2D;8;0.1791;44.67
Conv2D;8;0.0190;422.84
BatchNorm2D;8;0.0004;18741.31
ReLU;8;0.0001;79107.06
MaxPool2D;8;0.0906;88.34
Flatten;8;0.0000;1124416.23
Dense;8;0.0023;3496.98
ReLU;8;0.0000;360206.72
Dropout;8;0.0001;107823.39
Dense;8;0.0001;61180.46
Softmax;8;0.0002;45823.17
