FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0192;418.04
BatchNorm2D;8;0.0031;2602.93
ReLU;8;0.0004;19631.04
MaxPool2D;8;0.3683;21.82
Conv2D;8;0.0319;252.10
BatchNorm2D;8;0.0007;11357.49
ReLU;8;0.0002;46840.33
MaxPool2D;8;0.1840;43.52
Conv2D;8;0.0190;422.25
BatchNorm2D;8;0.0004;18484.80
ReLU;8;0.0001;77346.80
MaxPool2D;8;0.0918;87.20
Flatten;8;0.0000;1139412.83
Dense;8;4.8869;1.64
ReLU;8;0.0000;208727.28
Dropout;8;0.0001;108110.01
Dense;8;0.2284;35.06
Softmax;8;0.0002;36507.22
