FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0051;1572.24
BatchNorm2D;8;0.0029;2806.64
ReLU;8;0.0004;19699.93
MaxPool2D;8;0.0080;997.64
Conv2D;8;0.0226;355.47
BatchNorm2D;8;0.0007;11647.94
ReLU;8;0.0002;39912.83
MaxPool2D;8;0.0037;2157.33
Conv2D;8;0.0171;468.14
BatchNorm2D;8;0.0004;18917.67
ReLU;8;0.0001;83627.30
MaxPool2D;8;0.0022;3672.04
Flatten;8;0.0000;399756.73
Dense;8;0.0024;3421.80
ReLU;8;0.0000;394285.95
Dropout;8;0.0001;138025.93
Dense;8;0.0001;58323.56
Softmax;8;0.0002;47833.22
