FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;4.6212;1.73
BatchNorm2D;8;0.0017;4683.02
ReLU;8;0.0007;11658.32
MaxPool2D;8;0.3545;22.57
Conv2D;8;24.5795;0.33
BatchNorm2D;8;0.0009;9396.59
ReLU;8;0.0003;24095.31
MaxPool2D;8;0.1782;44.91
Conv2D;8;24.3937;0.33
BatchNorm2D;8;0.0006;13084.61
ReLU;8;0.0002;48531.83
MaxPool2D;8;0.0898;89.05
Flatten;8;0.0000;1038253.24
Dense;8;4.8295;1.66
ReLU;8;0.0000;223498.35
Dropout;8;0.0001;116535.97
Dense;8;0.2250;35.56
Softmax;8;0.0002;37945.73
